RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Mingus Mountain Scenic Road,Arizona,34.656397,-112.276413,34.1,STATE
Minnesota River Valley Scenic Byway,Minnesota,44.770354,-95.242398,233.9,"NSB, STATE"
Mirror Lake Scenic Byway - UT Section,Utah / Wyoming,40.712231,-110.978558,54.5,"USFS, STATE"
Mirror Lake Scenic Byway - Wyoming,Wyoming,41.133914,-110.881906,23.2,STATE
Mission Crossing,North Carolina,36.186084,-81.852267,17.5,STATE
Mississippi Delta Great River Road,Mississippi,33.384548,-90.926042,184.8,STATE
Missouri Breaks Back Country Byway,Montana,47.634187,-109.076323,54.5,BLM
Modoc Volcanic Scenic Byway,California,41.552589,-121.722488,90.8,USFS
Mohawk Towpath Byway,New York,42.812711,-73.791861,26.8,"NSB, STATE"
Monroe Street (M125),Michigan,41.919633,-83.399766,6.9,STATE
Monticello Crossroads Scenic Byway,Georgia,33.369737,-83.679172,29.6,STATE
Monument Valley to Bluff Scenic Byway,Utah,37.156020,-109.897262,41.8,STATE
Morgan County Scenic Byway,Ohio,39.633447,-81.882275,31.6,STATE
Mount Baker Highway (Route 542),Washington,48.872220,-122.037558,53.2,"USFS, STATE"
Mount Evans Scenic Byway,Colorado,39.698328,-105.588230,13.1,"USFS, STATE"
Mount Greylock Scenic Byway,Massachusetts,42.631114,-73.175031,17.2,STATE
Mount Magazine Scenic Byway,Arkansas,35.182151,-93.608656,21.8,USFS
Mount Rogers Scenic Byway,Virginia,36.728824,-81.581401,44.9,USFS
Mount Rose Highway,Nevada,39.331699,-119.872374,24.5,STATE
Mountain Gateway Scenic Drive,Arkansas / Oklahoma,34.766516,-94.584838,23.8,STATE
Mountain Loop Scenic Byway,Washington,48.108722,-121.604349,52.2,USFS
Mountain Maryland Byway,Maryland / West Virginia,39.530570,-79.071776,60.0,STATE
Mountain Pass Scenic Drive,Oklahoma,34.639559,-94.649858,27.9,STATE
Mountain Waters Scenic Byway,North Carolina,35.192200,-83.474689,71.7,USFS
Mountains to Sound Greenway - I-90,Washington,47.362889,-121.474587,98.8,"NSB, STATE"
Mt. Carmel Scenic Byway,Utah,37.381115,-112.543683,60.4,STATE
Mt. Charleston Scenic Byway,Nevada,36.335126,-115.525872,39.7,STATE
Mt. Hood Scenic Byway,Oregon,45.413698,-121.905507,97.7,"NSB, STATE"
Mt. Wilson Back Country Byway,Nevada,38.214134,-114.300308,87.9,BLM
Myrtle Creek-Canyonville Tour Route,Oregon,43.001527,-123.052584,65.2,STATE
Nantahala Byway,North Carolina,35.292133,-83.666032,51.9,STATE
Narrow-Gauge Scenic Byway,New Mexico,36.960681,-107.061302,10.5,STATE
Natchez Trace Parkway,Alabama / Mississippi / Tennessee,33.732035,-89.069589,448.7,"NSB, USFS, NPS"
National Historic Seaport,Maryland,39.278185,-76.592476,6.6,STATE
Native American Scenic Byway,North Dakota / South Dakota,44.866335,-100.478878,349.4,NSB
Native Stone Scenic Byway,Kansas,38.945073,-96.102768,48.5,STATE
Nebo Loop Scenic Byway,Utah,39.878079,-111.688157,35.8,"USFS, NSB, STATE"
Nestucca River Back Country Byway,Oregon,45.288069,-123.508054,45.4,BLM
New River Valley Byway,North Carolina,36.345401,-81.503849,33.9,STATE
Nine Mile Canyon Backway,Utah,39.833562,-110.319723,84.3,"BLM, STATE"
North Cascades Scenic Highway,Washington,48.566551,-121.105236,138.0,"USFS, STATE"
North Durham Country Byway,North Carolina,36.179695,-78.878552,30.8,STATE
North Fork Trail,New York,41.119194,-72.338323,13.4,STATE
North Pend Oreille Scenic Byway,Washington,48.848459,-117.387480,25.6,STATE
North Shore Scenic Drive,Minnesota,47.435524,-90.926146,146.2,"NSB, USFS, STATE"
Northwest Louisiana Scenic Byway,Arkansas / Louisiana / Texas,32.823750,-93.429213,236.6,STATE
Northwest Passage Scenic Byway,Idaho / Montana,46.327033,-115.795808,200.0,"NSB, STATE"
Northwestern Turnpike,West Virginia,39.322406,-79.876632,53.3,STATE
Ocmulgee-Piedmont Scenic Byway,Georgia,33.085059,-83.655424,23.5,STATE
Ocoee Scenic Byway,Tennessee,35.098320,-84.566221,36.5,USFS
Ogden River Scenic Byway,Utah,41.381729,-111.558012,59.3,"USFS, STATE"
Ohio & Erie Canalway,Ohio,41.046947,-81.564431,110.9,"NSB, STATE"
Ohio Lincoln Highway Historic Byway,Indiana / Ohio / West Virginia,40.802162,-82.798015,371.7,STATE
Ohio River Scenic Byway,Illinois / Indiana / Ohio,38.562117,-84.686187,880.7,NSB
Okanogan Scenic Byway,Washington,48.529235,-119.534152,71.3,STATE
Old Florida Heritage Highway,Florida,29.529006,-82.266016,47.5,STATE
Old Frankfort Pike,Kentucky,38.108980,-84.656933,19.1,STATE
Old Georgetown Pike,Virginia,38.975568,-77.247459,11.8,STATE
Old Kentucky Turnpike,Kentucky,37.669473,-85.590539,24.6,STATE
Old Mill Stream Scenic Byway,Ohio,40.985471,-83.725057,48.3,STATE
Old Route 7 Byway,West Virginia,39.504827,-79.713649,34.7,STATE
Old Trails Road,Missouri,39.151218,-93.963023,15.3,BLM
Olympic Trail,New York,44.229842,-74.673318,159.4,STATE
Oregon Trail-Bear Lake Scenic Byway,Idaho / Utah,42.649801,-111.400364,111.0,STATE
Oscar Wigington Scenic Byway,North Carolina / South Carolina,34.912872,-83.098396,17.9,USFS
Otter Trail Scenic Byway,Minnesota,46.371471,-95.790230,155.6,STATE
Outback Scenic Byway,Oregon,42.866053,-120.781291,157.7,"NSB, STATE"
Outer Banks Scenic Byway,North Carolina,35.180257,-75.967899,146.3,STATE
Outlaw Trail,Nebraska,42.797045,-98.501447,245.6,STATE
Over the Rivers - Through the Woods Scenic Byway,Oregon,44.394966,-122.491883,66.1,STATE
Owyhee Uplands Back Country Byway - Idaho section,Idaho / Oregon,42.692875,-116.650180,100.8,"BLM, STATE"
Ozark Highlands Scenic Byway,Arkansas,35.737623,-93.422127,35.5,USFS
Pacific Coast Highway - California's Route 1,California,36.094055,-121.036518,794.8,STATE
Pacific Coast Scenic Byway - Oregon,Oregon,44.134200,-124.132886,344.6,"NSB, USFS, STATE"
Pacific Coast Scenic Byway - Washington,Washington,47.451822,-123.706644,357.4,"USFS, STATE"
Pacolet River Byway,North Carolina / South Carolina,35.220121,-82.287672,10.7,STATE
Palisades Interstate Parkway,New Jersey / New York,40.935431,-73.930904,12.2,STATE
Palma Sola Scenic Highway,Florida,27.496751,-82.671985,4.3,STATE
Palms to Pines Scenic Byway,California,33.707022,-116.636395,64.7,USFS
Palouse Scenic Byway,Washington,46.890488,-117.359234,206.9,STATE
Pamlico Scenic Byway,North Carolina,35.565820,-76.298179,116.7,STATE
Panhandle Historic Rivers Passage Scenic Byway,Idaho / Washington,48.200679,-116.790517,28.6,STATE
Parker Dam Road,Arizona,34.382497,-114.174018,15.1,BLM
Parks Highway,Alaska,63.021422,-149.576445,147.1,STATE
Patagonia-Sonoita Scenic Road,Arizona,31.660171,-110.739451,55.7,STATE
Paul Bunyan Scenic Byway,Minnesota,46.672757,-94.228390,53.6,"NSB, STATE"
Pawnee Pioneer Trails,Colorado,40.651143,-103.949052,142.4,STATE
Payette River Scenic Byway,Idaho,44.349221,-116.127358,111.5,"NSB, STATE"
Peak to Peak Scenic and Historic Byway,Colorado,40.076489,-105.504501,60.1,"USFS, STATE"
Pee Dee Valley Drive,North Carolina,35.317041,-80.117763,15.0,STATE
Pend Oreille Scenic Byway,Idaho,48.225868,-116.298314,33.1,"NSB, STATE"
Pend Oreille Valley Scenic Byway,Idaho / Washington,48.401027,-117.265529,46.9,STATE
Pensacola Scenic Bluffs Highway,Florida,30.487242,-87.170661,9.7,STATE
Perquiman's Crossing,North Carolina,36.189174,-76.467080,3.9,STATE
Peter Norbeck Scenic Byway,South Dakota,43.824544,-103.476096,67.7,"USFS, NSB, STATE"
Pig Trail Scenic Byway,Arkansas,35.711275,-93.813500,17.1,USFS
Pine Mountain Road,Kentucky,36.981743,-83.010486,43.5,STATE
Pioneer Historic Byway,Idaho,42.635196,-111.581825,115.7,"NSB, STATE"
Pioneer Mountains Scenic Byway,Montana,45.581478,-113.067859,36.7,USFS
Pisgah Pike Scenic Byway,Kentucky,38.046386,-84.615899,12.8,STATE
Platte River Scenic Trails,Nebraska,40.978331,-100.315128,93.3,STATE
Ponderosa Pine Scenic Byway,Idaho,44.001487,-115.555714,125.2,STATE
Pony Express Trail National Back Country Byway,Utah,40.004810,-113.095702,137.8,"BLM, STATE"
Post Rock Scenic Byway,Kansas,38.951929,-98.495679,15.5,STATE
Potash-Lower Colorado River Scenic Byway (U-279),Utah,38.559176,-109.622181,15.2,STATE
Pottery Road,North Carolina,35.432402,-79.645186,25.2,STATE
Prairie Trail Scenic Byway,Kansas,38.566037,-97.707622,55.4,STATE
Promised Land Scenic Byway,Louisiana,30.214287,-91.817211,106.8,STATE
Provo Canyon Scenic Byway,Utah,40.414391,-111.523101,24.9,STATE
Puye Cliffs Scenic Byway,New Mexico,35.959638,-106.173890,7.1,STATE
Pyramid Lake Scenic Byway,Nevada,39.824710,-119.423774,43.0,"NSB, STATE"
Quartzville Road Back Country Byway,Oregon,44.543758,-122.320685,47.5,BLM
Quebradas Back Country Byway,New Mexico,34.042371,-106.787759,27.5,"BLM, BLM"
Ramona Expressway,California,33.832464,-117.106415,18.4,BLM
Red Clay Valley Scenic Byway,Delaware,39.797067,-75.643621,40.3,STATE
Red Gulch/Alkali National Back Country Byway,Wyoming,44.398664,-107.676473,34.0,"BLM, STATE"
Red River Gorge Scenic Byway,Kentucky,37.802500,-83.678278,45.0,"NSB, STATE"
Red Rock Canyon Back Country Byway,Nevada,36.098776,-115.407839,15.5,BLM
Red Rock Canyon Road,Nevada,36.118050,-115.443265,19.9,STATE
Red Rock Scenic Byway,Arizona,34.772168,-111.770152,9.8,"NSB, STATE"
Rendezvous Region Backway,North Dakota,48.906702,-97.973476,17.2,STATE
Revolutionary Trail,New York,43.127209,-75.072866,138.8,STATE
Rich Mountain Backway,West Virginia,38.786311,-79.866682,14.6,STATE
Richardson Highway,Alaska,62.794475,-145.813589,353.3,STATE
Ridge and Valley Scenic Byway,Georgia,34.540522,-85.168002,53.5,"USFS, STATE"
Rim of the World Scenic Byway,California,34.221280,-117.056043,97.3,USFS
River Bluffs Scenic Byway,Iowa,42.888181,-91.496812,113.2,STATE
River Heritage Tour,New Hampshire,43.905439,-71.850626,61.7,STATE
River Road,Kentucky,38.295386,-85.680282,10.3,STATE
River Road Scenic Byway,Arkansas / Louisiana / Michigan,31.953089,-90.620315,404.1,"USFS, NSB"
Riverboat Row Scenic Byway,Kentucky,39.095780,-84.496202,1.2,STATE
Roanoke Voyages Corridor,North Carolina,35.912307,-75.678370,9.7,STATE
Rogue-Coquille Scenic Byway,Oregon,42.742910,-124.136494,91.3,USFS
Rogue-Umpqua Scenic Byway,Oregon,43.033586,-122.650681,163.0,"USFS, NSB, STATE"
Rolling Kansas Byway,North Carolina,35.421387,-80.307721,10.7,STATE
Roosevelt-Marcy Trail,New York,43.901650,-74.126045,40.2,STATE
Roots and Tides Byway,Maryland,38.869100,-76.583814,46.4,STATE
Route 1 - Big Sur Coast Highway,California,36.162978,-121.682719,75.0,"NSB, STATE"
Route 1 - San Luis Obispo North Coast Byway,California,35.522206,-121.025435,58.1,"NSB, STATE"
Route 101--Redwood Highway,California,41.669144,-124.117250,10.8,STATE
"Route 108, The Smugglers Notch Road - Scenic Route",Vermont,44.544849,-72.771849,17.3,STATE
Route 116--Sonoma County,California,38.464870,-122.967609,25.6,STATE
Route 12--Valley of the Moon Highway,California,38.392112,-122.553908,21.0,STATE
"Route 125, The Middlebury Gap Road - Scenic Route",Vermont,43.948004,-72.975302,15.6,STATE
Route 125--Lemon Grove,California,32.752106,-117.009681,7.6,STATE
"Route 131, Cavendish Road - Scenic Route",Vermont,43.393039,-72.579596,8.8,STATE
Route 140--Mariposa County,California,37.646457,-119.827485,44.0,STATE
Route 151--Shasta Dam Boulevard,California,40.691848,-122.398021,7.0,STATE
Route 152--Pacheco Pass Road,California,37.076385,-121.098453,15.4,STATE
Route 154--San Marcos Pass Road,California,34.565422,-119.941830,32.1,STATE
Route 156--Monterey County,California,36.778842,-121.707200,4.7,STATE
Route 160--River Road,California,38.236343,-121.598634,47.8,STATE
Route 163--Cabrillo Freeway,California,32.733343,-117.155717,1.4,STATE
Route 20 Scenic Byway,New York,42.853962,-75.134204,107.9,STATE
Route 24--Alameda County,California,37.883491,-122.154747,10.1,STATE
Route 280--Father Junipero Serra Freeway,California,37.506149,-122.324862,21.5,STATE
Route 35--Skyline Boulevard,California,37.315516,-122.186958,38.9,STATE
Route 395--Inyo County,California,36.689730,-118.155693,129.1,STATE
Route 395--Mono County,California,38.042446,-119.135671,119.5,STATE
Route 50--El Dorado County,California,38.789478,-120.337424,59.9,STATE
Route 580--MacArthur Freeway,California,37.773155,-122.182796,12.0,STATE
Route 62--Twentynine Palms Highway,California,33.976127,-116.588257,8.7,STATE
Route 68--Monterey County,California,36.589650,-121.757150,15.4,STATE
Route 680--Alameda County,California,37.627460,-121.899930,15.0,STATE
Route 680--Contra Costa County,California,37.815275,-122.001589,14.4,STATE
Route 74,California,33.676865,-116.719238,68.0,STATE
Route 78--Anza-Borrego Desert State Park Road,California,33.176618,-116.300217,140.0,STATE
Route 9 Coastal Heritage Scenic Byway,Delaware,39.429793,-75.557671,55.8,STATE
Route 9--Saratoga-Los Gatos Road,California,37.249680,-122.050363,10.4,STATE
Route 91--Riverside Freeway,California,33.863488,-117.751220,9.6,STATE
Routes 5 & 580--West Side Freeway,California,37.432375,-121.225978,59.5,STATE
Rushing Rapids Parkway,Minnesota,46.662637,-92.344795,9.7,STATE
Russell-Brasstown National Scenic Byway,Georgia,34.778831,-83.796221,40.9,"USFS, NSB, STATE"
Sacajawea Historic Byway,Idaho,44.410100,-113.108202,135.6,STATE
Sakakawea Scenic Byway,North Dakota,47.264359,-101.218776,22.5,STATE
Saline Valley Road Back Country Byway,California,36.784616,-117.837840,93.8,BLM
Salmon River Scenic Byway,Idaho,44.791470,-114.185270,161.4,STATE
Salt Missions Trail,New Mexico,34.730612,-106.209873,153.3,STATE
San Bernardo Scenic Byway,Louisiana,29.973469,-90.069250,3.0,STATE
San Francisco Peaks Scenic Road,Arizona,35.444269,-111.828035,39.8,STATE
San Juan Skyway,Colorado,37.678100,-108.002312,235.3,"NSB, USFS, STATE"
Sandhills Journey,Nebraska,41.701752,-100.542975,274.4,STATE
Sandhills Scenic Drive,North Carolina,35.354682,-79.807860,49.6,STATE
Sandia Crest Byway,New Mexico,35.211943,-106.429745,5.5,"USFS, STATE"
Santa Fe National Forest Scenic Byway,New Mexico,35.736506,-105.858489,14.3,"USFS, STATE"
Santa Fe Trail,Colorado / New Mexico,36.745107,-104.166145,543.7,NSB
Savannah River Scenic Byway,South Carolina,34.148371,-82.560084,107.2,"NSB, STATE"
Sawtooth Scenic Byway,Idaho,43.643721,-114.522820,115.5,"USFS, STATE"
Scenic Byway 12,Utah,37.825100,-111.693231,124.7,"NSB, USFS, STATE"
Scenic Olentangy Heritage Corridor,Ohio,40.182776,-83.050280,10.7,STATE
Scenic Route 90,New York,42.739756,-76.549140,52.2,STATE
Seaway Trail,New York / Pennsylvania,43.404117,-77.580430,508.0,"NSB, STATE"
Sedona-Oak Creek Canyon Scenic Road,Arizona,34.958186,-111.740512,12.3,STATE
Selma to Montgomery March Byway,Alabama,32.305327,-86.658683,50.0,"NSB, STATE"
Seminoe to Alcova Scenic Backway,Wyoming,42.162356,-106.893147,71.1,STATE
Seward Highway,Alaska,60.740864,-149.399991,126.3,"NSB, USFS, STATE"
Shakertown Road,Kentucky,37.831501,-84.743529,38.9,STATE
Shawangunk Mountains Scenic Byway,New York,41.709111,-74.226333,87.3,STATE
Sherman Pass Scenic Byway,Washington,48.607559,-118.402800,42.9,"USFS, STATE"
Sheyenne River Valley Scenic Byway,North Dakota,46.708779,-97.944124,76.3,"NSB, STATE"
Sierra Heritage Scenic Byway (Route 168),California,37.109505,-119.317768,82.4,USFS
Sierra Vista Scenic Byway,California,37.379393,-119.408157,80.5,USFS
Silver Falls Tour Route,Oregon,44.934797,-122.761685,47.8,STATE
Silver Island Mountain National Back Country Byway,Utah,40.896442,-113.851210,55.4,"BLM, STATE"
Silver Thread Scenic Byway,Colorado,37.834067,-107.022511,71.4,"USFS, STATE"
Sky Island Scenic Byway,Arizona,32.358926,-110.725087,29.9,"USFS, NSB, STATE"
Skyline Drive,Virginia,38.480239,-78.477752,104.4,"NSB, NPS"
Skyline Parkway Scenic Byway,Minnesota,46.772085,-92.140329,23.1,STATE
Smith River Scenic Byway,California,41.865824,-123.913181,34.9,USFS
Smithsonian Butte National Back Country Byway,Utah,37.126769,-113.080773,9.3,"BLM, STATE"
Smoky Valley Scenic Byway,Kansas,38.786202,-99.815562,59.9,STATE
Snake River Canyon Scenic Byway,Idaho / Oregon,43.592824,-116.826114,51.7,STATE
Snake River-Mormon Basin Back Country Byway,Oregon,44.614122,-117.481224,147.9,BLM
Snowy Range Scenic Byway,Wyoming,41.335219,-106.344117,28.4,"USFS, STATE"
South Big Horn/Red Wall Scenic Backway,Wyoming,43.258468,-106.894943,82.4,STATE
South Fork John Day River Back Country Byway,Oregon,44.003657,-119.383550,86.9,BLM
South Fork-Alsea River Back Country Byway,Oregon,44.330533,-123.491985,17.8,BLM
South Fulton Scenic Byway,Georgia,33.566509,-84.743556,27.2,STATE
South Mountain Scenery,North Carolina,35.536438,-81.787966,37.2,STATE
South Platte River Trail,Colorado,40.958495,-102.320240,18.4,STATE
Southern Adirondack Trail,New York,43.252438,-74.828823,92.4,STATE
Southern Pinelands Natural Heritage Trail,New Jersey,39.451141,-74.709737,122.3,STATE
Spearfish Canyon Scenic Byway,South Dakota,44.404083,-103.886999,21.4,"USFS, STATE"
Spirit Lake Memorial Highway,Washington,46.327101,-122.562470,43.9,"USFS, STATE"
St. Croix Scenic Byway,Minnesota,45.475517,-92.830374,122.6,STATE
St. Francis Scenic Byway,Arkansas,34.656212,-90.662551,24.2,USFS
St. Joe River Scenic Byway,Idaho,47.253376,-115.888074,88.6,STATE
St. Regis-Paradise Scenic Byway,Montana,47.326845,-114.922965,22.0,USFS
Star-Spangled Banner Byway,District of Columbia / Maryland,39.103500,-76.783346,31.9,STATE
State of Jefferson Scenic Byway,California / Oregon,41.877537,-123.157035,108.0,USFS
Staunton-Parkersburg Turnpike,West Virginia,38.940366,-80.480045,172.7,"NSB, STATE"
Steens Loop Tour Route,Oregon,42.709197,-118.759630,55.7,STATE
Steens Mountain Back Country Byway,Oregon,42.709197,-118.759630,55.7,BLM
Steese Highway,Alaska,65.475383,-148.640570,124.9,STATE
Sterling Highway - Anchor Point to Homer,Alaska,59.674519,-151.621208,21.4,STATE
Sterling Highway - Wye to Skilak,Alaska,60.497666,-149.827581,21.3,STATE
Stevens Pass Greenway,Washington,47.733845,-121.195848,126.8,"USFS, NSB, STATE"
Strait of Juan de Fuca Highway - SR 112,Washington,48.197720,-124.060759,60.9,"NSB, STATE"
Sugar Camp Scenic Byway,Missouri,36.578981,-93.806998,27.0,USFS
Suncoast Scenic Parkway,Florida,28.401881,-82.515007,42.1,NPS
Sunrise Scenic Byway,California,32.899962,-116.480141,24.2,USFS
Sunspot Scenic Byway,New Mexico,32.873859,-105.777886,16.1,"USFS, STATE"
Superior National Forest Scenic Byway,Minnesota,47.402232,-91.751768,61.4,STATE
Swift Trail Parkway,Arizona,32.672096,-109.843210,32.6,STATE
Swift Water Corridor,Washington,47.168846,-120.859216,25.1,STATE
Sylamore Scenic Byway,Arkansas,35.998308,-92.141172,26.7,USFS
Talladega Scenic Drive,Alabama,33.510907,-85.769718,31.4,"USFS, NSB, STATE"
Tamiami Trail Scenic Highway,Florida,25.912742,-81.292604,56.2,"NSB, STATE"
Tappan-Moravian Trail Scenic Byway,Ohio,40.344125,-81.124877,56.1,STATE
Tar Heel Trace,North Carolina,35.822333,-77.481824,54.7,STATE
Taylor Top-of-the-World Highway,Alaska,63.874878,-141.941194,105.1,STATE
Teton Scenic Byway,Idaho,43.774474,-111.240384,69.1,"USFS, STATE"
Texas Forest Trail,Texas,31.582756,-94.917169,834.4,STATE
Texas Forts Trail,Texas,32.041240,-99.290463,696.2,STATE
Texas Hill Country Trail,Texas,29.965611,-98.809350,637.2,STATE
Texas Independence Trail,Texas,29.421374,-96.625095,741.9,STATE
Texas Lakes Trail,Texas,32.843648,-96.716038,659.5,STATE
Texas Mountain Trail,Texas,30.705294,-104.657879,708.3,STATE
Texas Pecos Trail,Texas,30.600863,-101.632915,717.0,STATE
Texas Plains Trail,Texas,34.428314,-101.752801,721.9,STATE
Texas Tropical Trail,Texas,27.114361,-98.050247,707.1,STATE
The Loneliest Road in America,Nevada,39.335087,-116.367046,322.6,STATE
The Real French Destination Scenic Byway,Louisiana,30.354491,-92.095883,13.6,STATE
The Ridge Scenic Highway,Florida,27.906786,-81.576370,37.9,STATE
Theodore Roosevelt National Park North Unit Byway,North Dakota,47.601161,-103.318659,8.2,STATE
Thousand Springs Scenic Byway,Idaho,42.658279,-114.682051,65.3,STATE
Tioga Road/Big Oak Flat Road,California,37.824389,-119.590456,55.2,"USFS, NSB, STATE"
Toledo Bend Forest Scenic Byway,Louisiana,31.398841,-93.382304,355.0,STATE
Top of the Rockies,Colorado,39.333774,-106.298181,74.7,"NSB, STATE"
Trail Ridge Road/Beaver Meadow Road,Colorado,40.387889,-105.706530,53.3,"NSB, NPS"
Trail of the Ancients,Arizona / Colorado / New Mexico / Utah,36.465735,-108.721352,945.2,NSB
Trail of the Mountain Spirits Scenic Byway,New Mexico,32.937463,-108.139505,90.9,"USFS, NSB, STATE"
Transcontinental Railroad Back Country Byway,Nevada / Utah,41.541914,-113.457919,72.3,STATE
Trinity Heritage Scenic Byway,California,41.140226,-122.727788,85.2,USFS
Trinity Scenic Byway,California,40.783849,-123.277538,134.4,USFS
Tunica Trace Scenic Byway,Louisiana,30.924698,-91.466550,19.0,STATE
Turquoise Trail,New Mexico,35.305730,-106.243657,60.6,"USFS, NSB, STATE"
Turtle Mountain Byway,North Dakota,48.946625,-99.962893,32.0,STATE
US 68 Scenic Byway,Kentucky,37.141419,-86.357929,303.4,STATE
Unaweep/Tabeguache Scenic and Historic Byway,Colorado,38.473860,-108.628318,130.7,STATE
Upper Colorado River Scenic Byway (U-128),Utah,38.744381,-109.396171,41.7,STATE
Upper Delaware Scenic Byway (Route 97),New York,41.644128,-75.004684,69.4,STATE
Upper Freehold Historic Farmland Byway,New Jersey,40.154306,-74.522762,24.6,STATE
Upper Yadkin Way,North Carolina,36.045909,-81.447748,18.7,STATE
Uwharrie Scenic Road,North Carolina,35.521742,-80.189753,47.4,STATE
Valley of Fire State Park Roadways,Nevada,36.420547,-114.523004,10.4,STATE
Veterans Evergreen Memorial Drive,Minnesota / Wisconsin,46.417416,-92.515480,49.6,STATE
Viaduct Valley Way Scenic Byway,Pennsylvania,41.728791,-75.691677,40.2,STATE
Volcanic Legacy Scenic Byway,California / Oregon,41.433714,-121.681768,500.4,NSB
Wally Road Scenic Byway,Ohio,40.577115,-82.214625,8.1,STATE
Washington Heritage Trail,West Virginia,39.464021,-78.092390,130.6,"NSB, STATE"
Waterfall Byway,North Carolina,35.095085,-83.417164,96.5,STATE
Waters of the Dancing Sky Scenic Byway,Minnesota,48.703006,-94.812264,182.4,STATE
Welsh Scenic Byway,Ohio,38.972522,-82.488323,44.6,STATE
West Cascades Scenic Byway,Oregon,44.490426,-122.101656,192.3,"USFS, NSB, STATE"
West Elk Loop,Colorado,38.783566,-107.315577,198.5,"USFS, STATE"
Western Heritage Historic Byway,Idaho,43.402556,-116.401036,28.1,"NSB, STATE"
Western Skies Scenic Byway,Iowa,41.660350,-95.148597,132.6,STATE
Western Trails Scenic and Historic Byway,Nebraska / Wyoming,41.573974,-102.812733,215.8,STATE
Wetlands Cultural Trail,Louisiana,29.589025,-90.602768,330.9,STATE
Wetlands and Wildlife Scenic Byway,Kansas,38.268135,-98.623951,77.3,NSB
Whidbey Island Scenic Byway,Washington,48.166279,-122.591725,47.5,STATE
White Mountain Scenic Road,Arizona,33.702648,-109.469463,135.4,"USFS, STATE"
White Pass Scenic Byway,Washington,46.600792,-121.770359,122.5,"USFS, STATE"
White Pine Scenic Byway,Idaho,47.219680,-116.622110,82.4,STATE
White River Scenic Road,Arizona,34.041672,-109.580370,106.3,STATE
Whitefish Bay Scenic Byway,Michigan,46.452900,-84.740043,42.0,USFS
Whitewater Way,North Carolina,35.070691,-82.994590,9.0,STATE
Wichita Mountains Scenic Byway,Oklahoma,34.833973,-98.576563,89.3,STATE
Wild Horse Canyon Scenic Backcountry Byway,California,35.079652,-115.431337,11.8,BLM
Wild Horse Trail Scenic Byway,Idaho,48.664914,-116.409716,59.5,STATE
Wild Rivers Back Country Scenic Byway,New Mexico,36.717419,-105.666711,19.8,BLM
Wilderness Road Heritage Highway,Kentucky / Tennessee,37.072832,-84.020923,98.5,"NSB, STATE"
Wildlife Canyon Scenic Byway,Idaho,44.076185,-115.859384,33.5,STATE
Wildlife Loop Road Scenic Byway,South Dakota,43.768508,-103.426789,12.0,STATE
William Bartram Scenic and Historic Trail,Florida,30.039526,-81.620838,17.3,STATE
Windows to the Gulf Coast Waters (Tamiami Trail),Florida,27.274660,-82.469748,58.8,STATE
Woodward Avenue (M-1),Michigan,42.487571,-83.164900,25.0,"NSB, NPS, STATE"
Wyoming Centennial Scenic Byway,Wyoming,43.445904,-110.299467,162.5,"USFS, STATE"
Yakama Scenic Byway,Washington,46.036724,-120.596232,58.2,STATE
Yakima River Canyon,Washington,46.802636,-120.487124,37.0,STATE
Yuba-Donner Scenic Byway,California,39.433547,-120.662691,153.4,"USFS, STATE"
Zilpo Road,Kentucky,38.065575,-83.559481,6.1,USFS
Zion Park Scenic Byway (U-9),Utah,37.195810,-113.108747,64.1,STATE
Zydeco Cajun Prairie Scenic Byway,Louisiana,30.536722,-92.205898,276.2,STATE
